"user","session","task","iteration","UD_qu","UD_u!","UD_!f","UD_fa","UD_aB","UD_B8","UD_8*","UD_*e","UD_en","standard_deviation","kurtosis","skewness"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","3","129","235","254","70","254","306","1314","245","120","357.23157063973","6.573834039787333","2.2713299262918123"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","4","118","193","235","84","342","742","344","292","107","190.10815635082864","4.345719137764708","1.4269679641666955"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","5","134","332","7071","8256","329","199","140","251","112","3110.5926552132582","2.906868183770313","1.363132604389505"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","6","122","181","214","93","329","199","140","251","112","71.38938607695435","2.526752618935121","0.6592744969433254"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","7","-91","320","204","62","284","212","157","229","109","118.01924931923834","2.9922005474874647","-0.828248009108385"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","8","124","202","199","102","609","1498","121","232","143","428.2746897454287","5.620862753166288","2.023097644759567"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","9","102","238","180","100","1127","286","246","218","85","304.75689562682373","6.470627892367803","2.2380521724808804"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","10","102","238","180","100","1127","286","246","218","85","304.75689562682373","6.470627892367803","2.2380521724808804"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","0","-9758","-16778","-16768","-17484","-17346","-15780","-15331","-15311","-15429","2202.958386879105","5.458707678517482","1.8514333318959417"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","1","143","273","202","-96","388","231","241","160","118","124.86891892532843","3.657045070126487","-0.743020862947813"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","2","115","2376","227","103","481","219","413","328","127","679.3766750975976","6.66755802551367","2.316081040030798"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","3","117","2060","199","84","134","1295","2084","154","103","820.8236754460969","1.95600056172349","0.8848332284848712"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","4","142","315","187","77","833","232","268","218","120","212.39574058178272","5.761396332086785","1.9743846275254227"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","5","-152","319","210","88","457","228","660","261","107","217.4692826329477","2.866154224864326","0.17420898825319572"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","6","-148","237","189","108","360","255","187","197","125","131.71583704473454","4.210728714511153","-1.1494766437564052"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","7","149","223","211","103","436","241","276","221","158","89.89966972844756","3.888657132162528","1.0922022320300533"
