"user","session","task","iteration","speed"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","0","2a","8","71.96181617917024"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","0","2a","9","75.32667179093006"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","0","2a","10","75.32667179093006"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","0","67.85447562146591"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","1","64.32556613062029"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","2","47.94359576968272"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","3","56.73099279237387"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","4","65.03655155028989"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","5","55.761024182076824"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","6","70.36683485612983"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","7","71.61693268563498"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","8","73.03609341825903"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","9","72.82992237120678"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","1","2a","10","72.82992237120678"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","0","62.5"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","1","64.54841130848135"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","2","61.67162564241277"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","3","69.70387243735762"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","4","74.8109828889773"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","5","66.68313163744133"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","6","65.69098424757011"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","7","69.84298863021115"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","8","60.831361946603586"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","9","75.05744191983662"
"5b834c47-8cef-4bdb-af3a-0fb64c36ff07","2","2a","10","75.05744191983662"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","0","71.93540494250061"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","1","74.9204853339616"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","2","81.74640037157455"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","3","73.20319432120675"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","4","73.55516637478108"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","5","69.1830740781029"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","6","77.94618001855862"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","7","73.52350341502611"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","8","84.30518476886328"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","9","79.72902553413235"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","0","2a","10","85.3163087637841"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","1","2a","0","73.87750769557371"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","1","2a","1","81.91126279863481"
"5bb2e225-97b1-4e34-ad76-4fe1249d664c","1","2a","2","85.8085808580858"
